Task ID,Module,Sub-Module,Task Name,Description,Priority,Status,Dependencies,API Endpoint,Test Type
TC-001,Jira Integration,Connection,Configure Jira connection,Enter Jira Base URL / Email / API Token / API Version (v2 or v3),P0,Implemented,,POST /api/epic-pipeline/jira/test-connection,Functional
TC-002,Jira Integration,Connection,Test Jira connectivity,Click Test Connection to validate Jira credentials against REST API,P0,Implemented,TC-001,POST /api/epic-pipeline/jira/test-connection,Functional
TC-003,Jira Integration,Connection,Save Jira configuration,Persist Jira config per user and organization for reuse,P0,Implemented,TC-002,POST /api/epic-pipeline/jira/save-config,Functional
TC-004,Jira Integration,Connection,Load saved Jira config,Retrieve saved Jira config on page load (API token excluded from response),P0,Implemented,TC-003,GET /api/epic-pipeline/jira/config,Functional
TC-005,Jira Integration,Connection,Support Jira Cloud v3 API,Handle Atlassian Document Format (ADF) parsing for Cloud instances,P0,Implemented,TC-001,,Functional
TC-006,Jira Integration,Connection,Support Jira Server v2 API,Handle plain text descriptions for Server/Data Center instances,P0,Implemented,TC-001,,Functional
TC-007,Jira Integration,Projects,List Jira projects,Fetch and display all accessible projects from Jira,P0,Implemented,TC-002,GET /api/epic-pipeline/jira/projects,Functional
TC-008,Jira Integration,Projects,Select project from dropdown,User selects a project to browse its epics,P0,Implemented,TC-007,,UI
TC-009,Jira Integration,Epics,List epics for project,Fetch all epics for selected project ordered by creation date,P0,Implemented,TC-008,GET /api/epic-pipeline/jira/epics/:projectKey,Functional
TC-010,Jira Integration,Epics,Display epic cards,Show epic key / summary / status / description in card layout,P0,Implemented,TC-009,,UI
TC-011,Jira Integration,Epics,Select epic to fetch stories,Click epic card to fetch all linked stories with acceptance criteria,P0,Implemented,TC-010,GET /api/epic-pipeline/jira/epic/:epicKey,Functional
TC-012,Jira Integration,Stories,Extract story summary and description,Parse story summary / description / status / priority / labels,P0,Implemented,TC-011,,Functional
TC-013,Jira Integration,Stories,Extract acceptance criteria from custom fields,Check customfield_10014 / customfield_10015 / customfield_10020 for AC,P0,Implemented,TC-011,,Functional
TC-014,Jira Integration,Stories,Extract AC from description sections,Parse AC section headers: Acceptance Criteria / Definition of Done / Given-When-Then blocks,P0,Implemented,TC-011,,Functional
TC-015,Jira Integration,Stories,Parse ADF to plain text,Convert Atlassian Document Format nodes (paragraphs / lists / headings) to plain text,P0,Implemented,TC-011,,Functional
TC-016,Jira Integration,Stories,Extract subtasks,Fetch subtask key / summary / status linked to each story,P1,Implemented,TC-011,,Functional
TC-017,Jira Integration,Stories,Extract comments,Fetch last 5 comments for context enrichment,P1,Implemented,TC-011,,Functional
TC-018,Jira Integration,Stories,Extract attachment filenames,List attachment names for reference,P2,Implemented,TC-011,,Functional
TC-019,Jira Integration,Stories,Derive AC from description when none found,Split description into sentences as implicit acceptance criteria,P1,Implemented,TC-011,,Functional
TC-020,Jira Integration,Stories,Derive AC from subtasks when none found,Use subtask summaries as acceptance criteria fallback,P1,Implemented,TC-019,,Functional
TC-021,Jira Integration,Search,Fetch stories by specific story keys,Support comma-separated story key input for targeted generation,P0,Implemented,,POST /api/epic-pipeline/jira/search,Functional
TC-022,Jira Integration,Search,Fetch stories by sprint ID,Select sprint to fetch all stories within that sprint,P1,Implemented,TC-007,,Functional
