Task ID,Module,Category,Task Name,Description,Priority,Status,Dependencies,API Endpoints,Database Tables,Files Involved,Acceptance Criteria,
DB-001,Database,Schema,Create BDDFeature Table,"Create table to store Gherkin feature files with fields: id (UUID PK), userId (FK to User), organizationId (FK to Organization), projectId (FK to Project), name (VARCHAR 255), description (TEXT), featureContent (TEXT - raw Gherkin), tags (JSONB), status (ENUM: draft/active/archived), createdAt, updatedAt. Cascade delete on User, SetNull on Project.",High,Implemented,None,N/A,BDDFeature,migrations/012_create_bdd_tables.sql; prisma/schema.prisma,"Table created with proper FK constraints, indexes on userId and organizationId",
DB-002,Database,Schema,Create BDDScenario Table,"Create child table for scenarios within features: id (UUID PK), featureId (FK to BDDFeature CASCADE), name (VARCHAR 255), scenarioType (ENUM: Scenario/Scenario Outline), description (TEXT), tags (JSONB), examplesData (JSONB - for parameterized Scenario Outlines), sortOrder (INT), createdAt, updatedAt.",High,Implemented,DB-001,N/A,BDDScenario,migrations/012_create_bdd_tables.sql; prisma/schema.prisma,"Table created with cascade delete on feature, sortOrder for ordering",
DB-003,Database,Schema,Create BDDStep Table,"Create step table: id (UUID PK), scenarioId (FK to BDDScenario CASCADE), keyword (VARCHAR 10 - Given/When/Then/And/But), text (TEXT - step text), dataTable (JSONB - optional tabular data), docString (TEXT - optional multiline text), stepDefinition (TEXT - Playwright code), sortOrder (INT), createdAt, updatedAt.",High,Implemented,DB-002,N/A,BDDStep,migrations/012_create_bdd_tables.sql; prisma/schema.prisma,"Table created with cascade delete on scenario, supports data tables and doc strings",
DB-004,Database,Schema,Create BDDRun Table,"Create execution tracking table: id (UUID PK), featureId (FK to BDDFeature), scenarioId (FK to BDDScenario optional), userId (FK to User CASCADE), organizationId (FK to Organization), status (ENUM: pending/running/passed/failed/cancelled), duration (INT ms), totalSteps/passedSteps/failedSteps/skippedSteps (INT), errorMsg (TEXT), browser (VARCHAR), executionMode (VARCHAR), reportUrl (VARCHAR), startedAt, completedAt, createdAt, updatedAt.",High,Implemented,DB-001; DB-002,N/A,BDDRun,migrations/012_create_bdd_tables.sql; prisma/schema.prisma,Table tracks full execution lifecycle with step counts and error details,
DB-005,Database,Schema,Create BDDStepLibrary Table,"Create reusable step definitions table: id (UUID PK), userId (FK to User), organizationId (FK to Organization), pattern (VARCHAR 500 - regex pattern), code (TEXT - Playwright implementation), keyword (VARCHAR 10), description (TEXT), tags (JSONB), usageCount (INT default 0), createdAt, updatedAt.",Medium,Implemented,None,N/A,BDDStepLibrary,migrations/013_bdd_enhancements.sql; prisma/schema.prisma,Step library entries are org-scoped and track usage count,
DB-006,Database,Schema,Create BDDSchedule Table,"Create scheduled execution table: id (UUID PK), featureId (FK to BDDFeature), userId (FK to User), organizationId (FK to Organization), cronExpression (VARCHAR 100), tags (VARCHAR), browser (VARCHAR), executionMode (VARCHAR), enabled (BOOLEAN default true), lastRunAt (TIMESTAMP), nextRunAt (TIMESTAMP), createdAt, updatedAt.",Medium,Implemented,DB-001,N/A,BDDSchedule,migrations/013_bdd_enhancements.sql; prisma/schema.prisma,Supports cron expressions with enable/disable toggle,
DB-007,Database,Schema,Extend BDDRun with Enhancements,"Add columns to BDDRun: screenshotUrls (JSONB array), tags (VARCHAR), parallelWorkers (INT). These support screenshot capture on failure, tag-based filtering, and parallel execution configuration.",Medium,Implemented,DB-004,N/A,BDDRun,migrations/013_bdd_enhancements.sql,BDDRun table extended with screenshot and parallel execution support,
DB-008,Database,Schema,Create Screenplay Pattern Tables,"Create tables for Screenplay Pattern: ScreenplayTask (id, userId, organizationId, name, description, code, tags), ScreenplayAction (id, taskId FK, actionType ENUM, target, value, code, sortOrder), ScreenplayQuestion (id, taskId FK, questionType ENUM, target, expectedValue, code, sortOrder).",Medium,Implemented,None,N/A,"ScreenplayTask, ScreenplayAction, ScreenplayQuestion",migrations/014_create_screenplay_tables.sql; prisma/schema.prisma,Screenplay tables support composable task/action/question pattern,
DB-009,Database,Migration,Run Prisma Migrations,"Execute prisma migrate dev to apply all BDD-related schema changes. Verify all tables created with proper constraints, indexes, and relationships.",High,Implemented,DB-001 to DB-008,N/A,All BDD tables,prisma/schema.prisma,"All migrations applied successfully, prisma client regenerated",
BE-001,Backend,Service,Implement Gherkin Parser,"Create parseFeatureContent() function that parses raw Gherkin text and extracts: feature name, description, tags, scenarios (with type detection for Scenario/Scenario Outline), steps (Given/When/Then/And/But with text), data tables, doc strings, and examples data for outlines.",High,Implemented,DB-001 to DB-003,N/A,N/A,src/services/bdd/bdd.service.ts,"Parser correctly handles Feature/Scenario/Scenario Outline/Background keywords, tags (@tag), data tables (| col |), doc strings (triple quotes), and Examples sections",
